epoch,lr,train_total,train_cp,train_wss,train_cd,train_cl,val_total,val_cp,val_wss,val_cd,val_cl,time_s
1,0.001,0.23270209083954493,0.09745343235276994,0.1316006734612442,0.036479851142281576,0.0,0.2223674323823717,0.09258520834975772,0.12607755445771748,0.037046705351935494,0,1468.9219417572021
2,0.001,0.22082065010354632,0.09251117369248754,0.12567992334564526,0.02629553462777819,0.0,0.22061544590526158,0.09241222424639596,0.125977566672696,0.022256555491023594,0,547.9578096866608
3,0.001,0.2198960855603218,0.09239072040432976,0.1255029079105173,0.020024565926619938,0.0,0.22151657905843522,0.09219904210832384,0.12595842000510957,0.0335911664697859,0,547.7768740653992
4,0.001,0.21956629788591747,0.09208796084636733,0.12540483918218387,0.020734976657799314,0.0,0.21913870738612282,0.0917086058192783,0.1258150370584594,0.016150637136565314,0,547.7167575359344
5,0.001,0.21812273881265096,0.0911713574259054,0.1251215310323806,0.018298489493983133,0.0,0.21783798899915482,0.09080049677027596,0.12535661839776568,0.016808758510483635,0,548.1418993473053
6,0.001,0.21668656447104045,0.09019894440259252,0.124538737287124,0.01948882376863843,0.0,0.2166390942202674,0.08990664001968172,0.12472201155291664,0.02010443541738722,0,547.9501090049744
7,0.001,0.21579580001887821,0.08979534854491551,0.12428998837158793,0.01710463095278967,0.0,0.21546997328599293,0.08942963580290476,0.12461477567752202,0.014255625671810573,0,547.8757982254028
8,0.001,0.21545085154828572,0.08944469488092831,0.12412132177324522,0.01884835348242805,0.0,0.21512510346041785,0.08920561257335875,0.12447150448958079,0.01447986794842614,0,548.0611321926117
9,0.001,0.21454929908116657,0.0890991618945485,0.12388006374239921,0.015700731320040566,0.0,0.21493878430790372,0.08924782673517863,0.12423759798208872,0.0145335853099823,0,548.0780649185181
10,0.001,0.21417476861249832,0.08892417032094228,0.12368029643382344,0.015703019144989196,0.0,0.21459524201022254,0.08877571175495784,0.12405924631489648,0.0176028311252594,0,548.1165282726288
11,0.001,0.2138576722570828,0.08869625723787716,0.1234672507359868,0.016941643186977932,0.0,0.21438854700989193,0.0889449569914076,0.12395876248677572,0.014848274323675368,0,547.9307610988617
12,0.001,0.2133101902547337,0.08849214737613996,0.12321269682475498,0.01605346713747297,0.0,0.21400949723190732,0.08866983436875873,0.12375744813018374,0.015822140375773112,0,548.1186137199402
13,0.001,0.2129175242213976,0.08832516049345335,0.12305867888388179,0.015336847589129494,0.0,0.213716850678126,0.08860918449030983,0.1237376817398601,0.013699843486150106,0,548.2164173126221
14,0.001,0.2125770377261298,0.08815524308454423,0.12288763281844911,0.01534162170830227,0.0,0.2131747411357032,0.08826832324266434,0.12347568737135993,0.01430729329586029,0,548.132511138916
15,0.001,0.21219773654426846,0.0879846650929678,0.12265165707185155,0.015614144291196551,0.0,0.21338120036655003,0.08830742620759541,0.12339424292246501,0.016795308060116237,0,548.0833389759064
16,0.001,0.2117560177331879,0.08777249714448339,0.12240624754201798,0.015772726848011925,0.0,0.21284647683302563,0.08802086429463493,0.12302553769614961,0.01800073716375563,0,548.1597726345062
17,0.001,0.21135720021667934,0.08760868293188867,0.12221058074917113,0.01537935733795166,0.0,0.21310275461938646,0.08835842112700144,0.12331927534606722,0.014250571529070536,0,547.8676512241364
18,0.001,0.21104425014484496,0.08745954320544289,0.12205232424395425,0.015323826741604579,0.0,0.2122653928067949,0.08797374152474934,0.12286208652787739,0.014295633965068394,0,547.8587160110474
19,0.001,0.21045353817088264,0.08723575118042173,0.12172823995351792,0.014895456958384741,0.0,0.2116693678829405,0.08763137625323401,0.12251200013690525,0.015259900357988146,0,548.0258257389069
20,0.001,0.21078345236324128,0.08736776798253967,0.12184858879163152,0.01567095468441645,0.0,0.21216718620724148,0.08757833010620542,0.1226761433813307,0.019127118587493896,0,548.0688433647156
21,0.001,0.21009236865100406,0.08710773856866927,0.12143835230242639,0.015462784894875117,0.0,0.21166452003849878,0.08765433563126458,0.12258414410882526,0.014260406626595392,0,548.0496869087219
22,0.001,0.20979550189915158,0.08705539440824872,0.1212371991858596,0.015029074038778033,0.0,0.21046856111950343,0.08742487331231436,0.12148072090413835,0.015629670355055067,0,548.1187572479248
23,0.001,0.20905286691018513,0.08686346262693405,0.12068634686015901,0.015030581539585476,0.0,0.21080259415838454,0.08746595515145196,0.12174829261170493,0.015883470906151664,0,548.1534559726715
24,0.001,0.20862418306725367,0.08673058726957866,0.12032265006786301,0.015709455878961654,0.0,0.20955123901367187,0.08713723984029557,0.12098452068037457,0.014294796519809298,0,547.9668643474579
25,0.001,0.20840458898317246,0.08664262851788884,0.1202031101499285,0.015588497193086715,0.0,0.20994171135955386,0.08750037567483054,0.12104536692301432,0.013959682650036283,0,548.0645561218262
26,0.001,0.20792478287503832,0.0865599121721018,0.11987942524609112,0.014854451020558676,0.0,0.2093873941236072,0.08701924482981364,0.12059197392728593,0.017761758632130094,0,548.094532251358
27,0.001,0.2075227255622546,0.0863674514350437,0.11964319295116833,0.015120816159816015,0.0,0.209291320376926,0.08720115986135271,0.12059233039617538,0.014978292915556166,0,548.5080392360687
28,0.001,0.20714736055760158,0.0862495478065241,0.11945664967809405,0.01441163569688797,0.0,0.20896946556038326,0.08693792521953583,0.12044642269611358,0.015851161877314248,0,548.1948835849762
29,0.001,0.20690358749457768,0.08602997571939514,0.11938529599990164,0.014883157823766981,0.0,0.21158738566769494,0.08738797588480843,0.12225544916258918,0.019439599580234952,0,548.1868901252747
30,0.001,0.20643201768398284,0.08581033228408723,0.11914784830240976,0.014738369910489945,0.0,0.2087019122309155,0.08658639142910639,0.12004707323180305,0.02068448000484043,0,548.1393840312958
